texp,rb_current,MulticlassAccuracy,MulticlassF1Score,SummaryErrorMetric,cnt_00,cnt_01,cnt_10,cnt_11
2.0,3.2,0.9575554132461548,0.9570176601409912,0.08488914370536804,2179.0,76.0,93.0,1653.0
2.5,3.2,0.9802849292755127,0.9805876612663269,0.03943004086613655,2282.0,42.0,34.0,1655.0
3.0,3.2,0.986624002456665,0.9869065284729004,0.026751961559057236,2152.0,31.0,20.0,1736.0
3.5,3.2,0.993647575378418,0.9938680529594421,0.012704828754067421,2190.0,16.0,8.0,1749.0
4.0,3.2,0.9976708889007568,0.9976993799209595,0.004658230114728212,2199.0,5.0,4.0,1754.0
4.5,3.2,0.9980671405792236,0.9981805086135864,0.0038656683173030615,2251.0,5.0,2.0,1674.0
5.0,3.2,0.9993330240249634,0.9992268085479736,0.0013339262222871184,2246.0,0.0,3.0,1705.0
5.5,3.2,0.9992689490318298,0.9992418885231018,0.001462124171666801,2214.0,1.0,2.0,1786.0
6.0,3.2,0.9997072219848633,0.9997422695159912,0.0005854800692759454,2245.0,1.0,0.0,1707.0
6.5,3.2,0.9994111061096191,0.9994792342185974,0.0011778563493862748,2210.0,2.0,0.0,1696.0
7.0,3.2,0.9996947050094604,0.9997376203536987,0.0006105006323195994,2279.0,1.0,0.0,1637.0
7.5,3.2,0.9988851547241211,0.9989886283874512,0.002229654463008046,2204.0,4.0,0.0,1790.0
8.0,3.2,1.0,1.0,0.0,2309.0,0.0,0.0,1638.0
8.5,3.2,0.9997730255126953,0.9997473359107971,0.00045392647734843194,2202.0,0.0,1.0,1796.0
9.0,3.2,0.99868243932724,0.9987167716026306,0.002635105513036251,2248.0,3.0,2.0,1715.0
