texp,rb_current,cnt_00,cnt_01,cnt_10,cnt_11,threshold,cnt_0,cnt_1,p_01,p_10,error
2.0,3.2,2028,175,244,1554,1048.0,2272,1729,0.10121457489878542,0.1073943661971831,0.2086089410959685
2.5,3.2,2173,129,143,1568,1090.0,2316,1697,0.07601649970536241,0.06174438687392055,0.13776088657928295
3.0,3.2,2093,70,79,1697,1131.0,2172,1767,0.039615166949632144,0.0363720073664825,0.07598717431611465
3.5,3.2,2140,51,58,1714,1165.0,2198,1765,0.028895184135977338,0.026387625113739762,0.055282809249717096
4.0,3.2,2147,29,56,1730,1196.0,2203,1759,0.01648664013644116,0.02541988197911938,0.04190652211556054
4.5,3.2,2220,17,33,1662,1226.0,2253,1679,0.01012507444907683,0.014647137150466045,0.024772211599542876
5.0,3.2,2235,13,14,1692,1270.0,2249,1705,0.007624633431085044,0.006224988883948421,0.013849622315033465
5.5,3.2,2197,9,19,1778,1287.0,2216,1787,0.005036373810856184,0.008574007220216607,0.013610381031072791
6.0,3.2,2235,12,10,1696,1331.0,2245,1708,0.00702576112412178,0.004454342984409799,0.01148010410853158
6.5,3.2,2203,9,7,1689,1354.5,2210,1698,0.00530035335689046,0.003167420814479638,0.008467774171370098
7.0,3.2,2268,2,11,1636,1404.0,2279,1638,0.001221001221001221,0.004826678367705134,0.006047679588706355
7.5,3.2,2203,5,1,1789,1421.0,2204,1794,0.002787068004459309,0.00045372050816696913,0.003240788512626278
8.0,3.2,2303,3,6,1635,1477.5,2309,1638,0.0018315018315018315,0.00259852750108272,0.004430029332584551
8.5,3.2,2197,3,6,1793,1505.0,2203,1796,0.0016703786191536749,0.0027235587834770767,0.004393937402630751
9.0,3.2,2247,2,3,1716,1568.0,2250,1718,0.0011641443538998836,0.0013333333333333333,0.002497477687233217
